Quarter;Age;Male;Female
2016Q2;0;30514;28979
2016Q2;1;29838;28165
2016Q2;2;29379;27900
2016Q2;3;30566;28835
2016Q2;4;31020;29721
2016Q2;5;32949;31513
2016Q2;6;33670;31937
2016Q2;7;34773;32649
2016Q2;8;34487;32722
2016Q2;9;34625;32806
2016Q2;10;34102;32565
2016Q2;11;34059;32637
2016Q2;12;34351;32842
2016Q2;13;33792;31811
2016Q2;14;34070;32630
2016Q2;15;35304;33664
2016Q2;16;35058;33834
2016Q2;17;35534;33811
2016Q2;18;36248;34280
2016Q2;19;37295;35246
2016Q2;20;39506;37080
2016Q2;21;40594;39293
2016Q2;22;39276;37555
2016Q2;23;40089;38409
2016Q2;24;39336;37994
2016Q2;25;39171;37698
2016Q2;26;38472;37137
2016Q2;27;37427;35673
2016Q2;28;36088;34611
2016Q2;29;35457;33789
2016Q2;30;34451;33200
2016Q2;31;33032;31712
2016Q2;32;32392;31443
2016Q2;33;32536;31255
2016Q2;34;32588;32243
2016Q2;35;33470;32674
2016Q2;36;34598;34450
2016Q2;37;35429;35032
2016Q2;38;35187;34787
2016Q2;39;36285;35570
2016Q2;40;38837;38986
2016Q2;41;38922;38887
2016Q2;42;38598;38590
2016Q2;43;40042;39927
2016Q2;44;40802;39926
2016Q2;45;38649;38189
2016Q2;46;37859;37325
2016Q2;47;39421;38117
2016Q2;48;41334;40770
2016Q2;49;45076;43989
2016Q2;50;43999;43255
2016Q2;51;42698;41713
2016Q2;52;42030;41190
2016Q2;53;39287;38839
2016Q2;54;38144;37915
2016Q2;55;37598;37240
2016Q2;56;35967;35879
2016Q2;57;35779;35730
2016Q2;58;35514;35604
2016Q2;59;35093;35337
2016Q2;60;34688;34973
2016Q2;61;33573;34297
2016Q2;62;33479;34302
2016Q2;63;33322;33964
2016Q2;64;31756;32771
2016Q2;65;32308;33607
2016Q2;66;32063;33579
2016Q2;67;32799;34157
2016Q2;68;34414;35876
2016Q2;69;35377;37073
2016Q2;70;34400;35813
2016Q2;71;31639;33811
2016Q2;72;28846;31326
2016Q2;73;26095;28627
2016Q2;74;22681;25282
2016Q2;75;20453;23314
2016Q2;76;19718;22336
2016Q2;77;17940;21001
2016Q2;78;16701;20347
2016Q2;79;14994;18447
2016Q2;80;13272;16961
2016Q2;81;11948;15730
2016Q2;82;10880;14377
2016Q2;83;9243;13243
2016Q2;84;8365;12270
2016Q2;85;7224;11316
2016Q2;86;6413;10107
2016Q2;87;5675;9435
2016Q2;88;4524;8620
2016Q2;89;3873;7591
2016Q2;90;3136;6693
2016Q2;91;2480;5774
2016Q2;92;1792;4843
2016Q2;93;1332;3660
2016Q2;94;1017;3077
2016Q2;95;735;2461
2016Q2;96;537;1760
2016Q2;97;290;1189
2016Q2;98;167;822
2016Q2;99;120;607
2016Q2;100;56;400
2016Q2;101;35;218
2016Q2;102;28;140
2016Q2;103;14;90
2016Q2;104;10;39
2016Q2;105;2;26
2016Q2;106;2;8
2016Q2;107;1;5
2016Q2;108;0;2
2016Q2;109;1;0
2016Q2;110;0;2
2016Q2;111;0;0
2016Q2;112;0;0
2016Q2;113;0;0
2016Q2;114;0;0
2016Q2;115;0;0
2016Q2;116;0;0
2016Q2;117;0;0
2016Q2;118;0;0
2016Q2;119;0;0
2016Q2;120;0;0
2016Q2;121;0;0
2016Q2;122;0;0
2016Q2;123;0;0
2016Q2;124;0;0
2016Q2;125;0;0
2016Q1;0;30049;28556
2016Q1;1;29750;28144
2016Q1;2;29459;28025
2016Q1;3;30834;28969
2016Q1;4;31038;29924
2016Q1;5;33643;31973
2016Q1;6;33495;31652
2016Q1;7;34918;32763
2016Q1;8;34180;32492
2016Q1;9;34688;32821
2016Q1;10;33963;32656
2016Q1;11;34105;32598
2016Q1;12;34130;32463
2016Q1;13;33870;32017
2016Q1;14;34227;32872
2016Q1;15;35333;33794
2016Q1;16;35107;33665
2016Q1;17;35572;33715
2016Q1;18;36543;34588
2016Q1;19;37413;35234
2016Q1;20;39564;37425
2016Q1;21;40044;38426
2016Q1;22;39139;37463
2016Q1;23;40081;38339
2016Q1;24;38770;37498
2016Q1;25;39081;37556
2016Q1;26;37992;36601
2016Q1;27;37034;35444
2016Q1;28;35678;33997
2016Q1;29;35087;33513
2016Q1;30;33978;32966
2016Q1;31;32883;31678
2016Q1;32;31955;31209
2016Q1;33;32842;31567
2016Q1;34;32279;31811
2016Q1;35;34043;33672
2016Q1;36;34660;34236
2016Q1;37;35528;35108
2016Q1;38;35273;34989
2016Q1;39;36820;36096
2016Q1;40;39242;39471
2016Q1;41;38774;38676
2016Q1;42;38729;38507
2016Q1;43;40334;40257
2016Q1;44;40190;39340
2016Q1;45;38310;37920
2016Q1;46;38288;37480
2016Q1;47;39766;38691
2016Q1;48;42165;41450
2016Q1;49;45296;44273
2016Q1;50;43661;42863
2016Q1;51;42697;41571
2016Q1;52;41366;40878
2016Q1;53;38996;38541
2016Q1;54;37722;37479
2016Q1;55;37697;37224
2016Q1;56;35776;35726
2016Q1;57;35783;35819
2016Q1;58;35285;35379
2016Q1;59;35250;35535
2016Q1;60;34648;34807
2016Q1;61;33301;34296
2016Q1;62;33757;34507
2016Q1;63;32844;33699
2016Q1;64;32216;32784
2016Q1;65;32451;33941
2016Q1;66;31925;33470
2016Q1;67;33428;34749
2016Q1;68;35062;36574
2016Q1;69;35707;37041
2016Q1;70;33824;35365
2016Q1;71;31159;33303
2016Q1;72;27816;30454
2016Q1;73;25698;28060
2016Q1;74;22101;24663
2016Q1;75;20700;23615
2016Q1;76;19074;21861
2016Q1;77;18009;21116
2016Q1;78;16347;19997
2016Q1;79;14871;18283
2016Q1;80;13268;16799
2016Q1;81;11914;15625
2016Q1;82;10485;14252
2016Q1;83;9277;13329
2016Q1;84;8266;12154
2016Q1;85;7241;11246
2016Q1;86;6447;10227
2016Q1;87;5594;9532
2016Q1;88;4500;8505
2016Q1;89;3920;7713
2016Q1;90;3087;6723
2016Q1;91;2423;5749
2016Q1;92;1830;4828
2016Q1;93;1295;3619
2016Q1;94;1064;3172
2016Q1;95;730;2538
2016Q1;96;477;1615
2016Q1;97;308;1196
2016Q1;98;169;834
2016Q1;99;127;622
2016Q1;100;55;370
2016Q1;101;41;217
2016Q1;102;27;135
2016Q1;103;15;96
2016Q1;104;8;44
2016Q1;105;3;19
2016Q1;106;1;14
2016Q1;107;1;8
2016Q1;108;0;0
2016Q1;109;1;2
2016Q1;110;0;1
2016Q1;111;0;0
2016Q1;112;0;0
2016Q1;113;0;0
2016Q1;114;0;0
2016Q1;115;0;0
2016Q1;116;0;0
2016Q1;117;0;0
2016Q1;118;0;0
2016Q1;119;0;0
2016Q1;120;0;0
2016Q1;121;0;0
2016Q1;122;0;0
2016Q1;123;0;0
2016Q1;124;0;0
2016Q1;125;0;0
